"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"dcuC",6994.74783451397,-4.05517550533513,0.102452479494385,-39.581038207644,0,0
"frdC",8207.24508658909,-3.84272017466902,0.0870639224788973,-44.1367683106676,0,0
"gatY",15119.5513788717,-3.42241059767112,0.0910103360100065,-37.6046364370618,0,0
"glpA",2378.13754001209,-5.54668874174518,0.141678192854057,-39.1499117119517,0,0
"nikB",1814.03686569177,-4.40632613961672,0.10970383085182,-40.1656542474661,0,0
"nikC",1851.95761214727,-4.432865657948,0.112444823786004,-39.4225853062322,0,0
"yfcC",6809.03047977015,-4.90358208116467,0.11589101174085,-42.3120137403737,0,0
"yhbU",3345.81405130849,-4.64089377551001,0.119268708302216,-38.9112437082023,0,0
"yhbV",2788.71631041117,-3.77439840785642,0.0960034286735089,-39.3152459241066,0,0
"yjjI",4448.22494830406,-4.2215899306916,0.105660190027322,-39.9544041100055,0,0
"nirD",4902.12824959554,-3.3082547644204,0.0908794523775271,-36.4026705473246,3.86236147624e-290,1.46032376178929e-287
"frdA",37710.2283617339,-3.64116047192005,0.100748887550947,-36.1409496465037,5.16153423716887e-286,1.78890174103211e-283
"aspA",36013.2722625862,-3.1371093526422,0.0878471091490212,-35.7110140906344,2.66697302405491e-279,8.5322621592649e-277
"glpB",1328.60943805135,-4.56854915433239,0.131446718899901,-34.7559010416335,1.12881576897193e-264,3.35338913082446e-262
"napB",1701.05999305095,-4.1293446320149,0.122875956537765,-33.6057984683583,1.38029760217138e-247,3.82710515162051e-245
"glpT",1467.52079357742,-3.5028504259904,0.104676281096952,-33.4636499241507,1.62949885394511e-245,4.23567858347358e-243
"hybO",3656.6455675572,-3.14637101168999,0.0994641716926356,-31.6332098095876,1.29066580907037e-219,3.15757594113157e-217
"yjjW",2757.32586128252,-3.85021421623015,0.126329765535048,-30.4774903992201,5.17994802963185e-204,1.19685576973549e-201
"frdD",10024.6824915764,-3.87506931946847,0.129502077141703,-29.9228352548222,9.93140010842877e-197,2.17393121320817e-194
"napC",2925.52561906523,-3.17744826311664,0.107534273536029,-29.5482375863361,6.91856298834154e-192,1.43871517342562e-189
"dmsB",1702.27643348301,-3.70064208400597,0.125340616905775,-29.5246838204725,1.38834654578351e-191,2.7495872780541e-189
"nikA",3848.75079905101,-4.19000076087903,0.142876938138618,-29.3259417192572,4.84394969320528e-189,9.15726671547307e-187
"glpC",1065.7489352649,-4.40402250557196,0.151774531015193,-29.0168744130799,4.0304933581283e-185,7.28818342454591e-183
"hypB",2148.34028169648,-3.60716337546975,0.124597553502444,-28.9505152715458,2.76466901022304e-184,4.79094100563235e-182
